Research and Development,GBP,938.75,16.06.2020,Darrell Achromov
Engineering,JPY,20.90,09.12.2020,Tonnie Nurny
Sales,GBP,241.66,22.03.2020,Gui Ramel
Engineering,EUR,562.77,10.11.2020,Venus Zavittieri
Training,USD,154.95 ,26.01.2020,Tann Swallwell
Marketing,JPY,499.57,20.10.2020,Linnie Standish-Brooks
Business Development,EUR,865.31,10.01.2020,Myrtie Lening
Services,JPY,946.99,16.06.2020,Gisele Teacy
Product Management,USD,275.84 ,20.04.2020,Reube Arnfield
Support,JPY,388.61,02.02.2020,Cayla Quesne
Support,JPY,299.38,15.03.2020,Noel Archibald
Human Resources,JPY,760.90,27.05.2020,Remy Aleevy
Accounting,EUR,135.37,06.07.2020,Violante MacTimpany
Engineering,USD,496.68 ,22.02.2020,Jim Bent
Sales,JPY,615.30,25.02.2020,Joana Doxey
Sales,JPY,97.25,08.09.2020,Donaugh Oats
Sales,USD,502.87 ,23.09.2020,Armando Matthews
Services,JPY,396.34,09.07.2020,Freida Endicott
Services,USD,339.40 ,24.05.2020,Martainn Wythe
Services,EUR,698.20,06.12.2020,Abagail Tilmouth
Marketing,EUR,483.03,08.09.2020,Barnebas Gronav
Business Development,USD,610.19 ,17.05.2020,Deva Mullord
Research and Development,GBP,338.33,28.12.2020,Raddie Cater
Human Resources,EUR,974.88,08.06.2020,Chaunce Jonk
Training,GBP,693.56,04.07.2020,Louisette Bullimore
Legal,GBP,123.46,24.02.2020,Mair Willimott
Marketing,GBP,460.45,22.02.2020,Homerus Everley
Support,EUR,19.95,20.10.2020,Chery Duell
Engineering,EUR,814.86,26.04.2020,Davine Webber
Services,GBP,606.58,05.07.2020,Stephen Minger
Product Management,USD,54.62 ,19.07.2020,Gustavus Pegrum
Support,USD,66.30 ,23.09.2020,Audrye Waplinton
Marketing,EUR,988.19,20.07.2020,Dorothee Tees
Engineering,EUR,418.36,08.07.2020,Torey Devaney
Services,USD,53.07 ,26.06.2020,Josiah D'Enrico
Engineering,JPY,155.32,13.01.2020,Remy Kinnane
Accounting,USD,947.26 ,07.09.2020,Diane-marie Gudge
Engineering,EUR,945.82,04.04.2020,Gerrie Silverston
Product Management,EUR,132.79,20.05.2020,Jacinthe Haddacks
Sales,JPY,628.38,14.08.2020,Delilah Brody
Research and Development,GBP,406.96,19.12.2020,Lotti Dubbin
Training,JPY,661.96,17.12.2020,Basile Alenov
Training,EUR,619.67,24.09.2020,Aurelia Crotty
Accounting,EUR,417.73,15.02.2020,Valentin Sleigh
Marketing,JPY,269.92,16.12.2020,Jeannette McGrowther
Services,EUR,194.48,11.01.2020,Kiele Saleway
Research and Development,USD,486.02 ,08.10.2020,Charmion Bener
Product Management,JPY,372.66,21.07.2020,Dougie O'Dogherty
Training,JPY,95.17,20.02.2020,Ileane Balnaves
Product Management,GBP,320.20,08.11.2020,Linet Blagbrough
Legal,GBP,273.57,02.04.2020,Aretha Burgen
Product Management,GBP,884.92,29.12.2020,Hy Barnard
Business Development,GBP,487.62,19.12.2020,Florrie Benian
Training,GBP,202.56,18.06.2020,Cecilia Glinde
Training,EUR,125.88,09.06.2020,Deidre McCurrie
Marketing,GBP,825.94,07.05.2020,Virginie Quye
Engineering,USD,847.85 ,17.09.2020,Ermina McAreavey
Legal,EUR,495.70,07.02.2020,Moses Mulcock
Sales,USD,41.50 ,12.07.2020,Flynn Collacombe
Services,EUR,860.48,06.07.2020,Cristen Grimolbie
Accounting,USD,403.72 ,17.08.2020,Maxine O'Duggan
Human Resources,JPY,310.92,12.06.2020,Tanya Cassely
Services,EUR,127.82,29.09.2020,Alexi Motherwell
Business Development,USD,332.77 ,13.09.2020,Jamil Mohring
Product Management,GBP,490.25,18.07.2020,Corella Abade
Product Management,JPY,162.38,07.06.2020,Serena Rundle
Marketing,EUR,897.16,15.08.2020,Papageno Magrannell
Legal,USD,91.63 ,26.04.2020,Myca Cosely
Human Resources,EUR,89.23,19.03.2020,Gradeigh Hamlington
Marketing,GBP,46.66,01.07.2020,Willy Jerrim
Accounting,GBP,152.18,20.03.2020,Berry Crowcroft
Accounting,USD,578.12 ,19.09.2020,Julita Labbati
